"Stock","Stock code","Current Price Rs","Market Capitalization in Cr","Latest financial result yyyymmdd","PE TTM Price to Earnings","Price to Book Value","Revenue QoQ Growth %","Net Profit QoQ Growth %","NSE Code","BSE Code","ISIN"
"Gujarat State Fertilizer & Chemicals Ltd.","GSFC","180.5","7192.52","2023-09-30","6.81","0.6","51.18","174.68","GSFC","500690","INE026A01025"
"Devyani International Ltd.","DEVYANI","179.95","21699.43","2023-09-30","122.25","22.54","-3.21","183.65","DEVYANI","543330","INE872J01023"
"Ashok Leyland Ltd.","ASHOKLEY","178.4","52380.51","2023-09-30","24.46","4.85","17.93","-3.29","ASHOKLEY","500477","INE208A01029"
"The New India Assurance Company Ltd.","NIACL","176.45","29078.96","2023-09-30","30.71","1.12","13.23","-167.68","NIACL","540769","INE470Y01017"
"FSN E-Commerce Ventures Ltd.","NYKAA","171.85","49053.14","2023-09-30","2483.38","35.24","5.99","76.99","NYKAA","543384","INE388Y01029"
"NMDC Ltd.","NMDC","171.5","50259.89","2023-09-30","8.57","2.22","-25.59","-37.89","NMDC","526371","INE584A01023"
"Aditya Birla Capital Ltd.","ABCAPITAL","170.95","44437.53","2023-09-30","8.49","2.04","9.59","8.68","ABCAPITAL","540691","INE674K01013"
"Firstsource Solutions Ltd.","FSL","167.45","11671.11","2023-09-30","21.15","3.47","0.7","0.41","FSL","532809","INE684F01012"
"Prism Johnson Ltd.","PRSMJOHNSN","167.15","8413.61","2023-09-30","54.56","5.75","-5.37","921.41","PRSMJOHNSN","500338","INE010A01011"
"Ircon International Ltd.","IRCON","166.25","15636.07","2023-09-30","17.68","2","9.93","33.82","IRCON","541956","INE962Y01021"
"Rail Vikas Nigam Ltd.","RVNL","165.8","34569.63","2023-09-30","23.38","4.72","-11.8","14.98","RVNL","542649","INE415G01027"
"NLC India Ltd.","NLCINDIA","164.35","22789.37","2023-09-30","11.92","1.29","-10.22","168.02","NLCINDIA","513683","INE589A01014"
"NCC Ltd.","NCC","164.15","10306.1","2023-09-30","17.19","1.59","7.74","-55.43","NCC","500294","INE868B01028"
"Welspun India Ltd.","WELSPUNIND","161.85","15728.72","2023-09-30","29.9","3.75","14.88","21.73","WELSPUNIND","514162","INE192B01031"
"Redington Ltd.","REDINGTON","159.05","12433.18","2023-09-30","10.01","1.7","4.88","21.98","REDINGTON","532805","INE891D01026"
"Hindustan Copper Ltd.","HINDCOPPER","158.1","15288.65","2023-09-30","47.7","7.34","2.82","28.38","HINDCOPPER","513599","INE531E01026"
"Manappuram Finance Ltd.","MANAPPURAM","152","12865.81","2023-09-30","6.92","1.33","6.44","12.6","MANAPPURAM","531213","INE522D01027"
"Karur Vysya Bank Ltd.","KARURVYSYA","151.95","12197.66","2023-09-30","8.94","1.42","6.06","5.53","KARURVYSYA","590003","INE036D01028"
"City Union Bank Ltd.","CUB","148.8","11017.4","2023-09-30","11.67","1.48","2.99","23.47","CUB","532210","INE491A01021"
"Rain Industries Ltd.","RAIN","146.25","4919.06","2023-09-30","18.19","0.56","-10.09","-154.44","RAIN","500339","INE855B01025"
"Sterlite Technologies Ltd.","STLTECH","146.05","5828.14","2023-09-30","28.71","2.79","-1.84","-37.04","STLTECH","532374","INE089C01029"
"Federal Bank Ltd.","FEDERALBNK","145.45","35376.19","2023-09-30","9.64","1.6","8.25","12.95","FEDERALBNK","500469","INE171A01029"
"Engineers India Ltd.","ENGINERSIN","144.75","8135.56","2023-09-30","17.21","4.15","-3.48","-8.25","ENGINERSIN","532178","INE510A01028"
"Indian Energy Exchange Ltd.","IEX","143.6","12804.71","2023-09-30","39.06","16.05","4.32","14.02","IEX","540750","INE022Q01020"
"Bharat Electronics Ltd.","BEL","141.85","103689.21","2023-09-30","31.2","7.47","13.48","46.56","BEL","500049","INE263A01024"
"L&T Finance Holdings Ltd.","L&TFH","141.45","35168.3","2023-09-30","16.9","1.63","-0.29","12.09","L&TFH","533519","INE498L01015"
"Bharat Heavy Electricals Ltd.","BHEL","141.15","49149.32","2023-09-30","689.61","1.83","2.44","30.76","BHEL","500103","INE257A01026"
"Delta Corp Ltd.","DELTACORP","138.55","3709.97","2023-09-30","13.57","1.67","-0.81","2.25","DELTACORP","532848","INE124G01033"
"Gujarat Pipavav Port Ltd.","GPPL","135.05","6528.86","2023-09-30","19.1","2.83","17.54","36.05","GPPL","533248","INE517F01014"
"Castrol India Ltd.","CASTROLIND","134.35","13288.86","2023-09-30","16.3","7.05","-11.31","-13.69","CASTROLIND","500870","INE172A01027"
"Tata Steel Ltd.","TATASTEEL","126.1","154113.58","2023-09-30","-25.34","1.47","-6.4","-1077.4","TATASTEEL","500470","INE081A01020"
"GAIL (India) Ltd.","GAIL","123.8","81399.73","2023-09-30","15.41","1.25","0.6","36.4","GAIL","532155","INE129A01019"
"Rashtriya Chemicals & Fertilizers Ltd.","RCF","121.95","6727.84","2023-09-30","12.85","1.47","2.78","-24.72","RCF","524230","INE027A01015"
"Piramal Pharma Ltd.","PPLPHARMA","119.1","15757.25","2023-09-30","-117.92","2.33","9.29","105.09","PPLPHARMA","543635","INE0DK501011"
"IDFC Ltd.","IDFC","116.15","18583.82","2023-09-30","4.48","1.6","37.08","-15.37","IDFC","532659","INE043D01016"
"Lemon Tree Hotels Ltd.","LEMONTREE","115.6","9158.37","2023-09-30","70.42","6.48","2.22","-3.46","LEMONTREE","541233","INE970X01018"
"Zomato Ltd.","ZOMATO","115.3","100436.86","2023-09-30","-202.17","5.16","17.88","1700","ZOMATO","543320","INE758T01015"
"Jamna Auto Industries Ltd.","JAMNAAUTO","113.35","4520.76","2023-09-30","23.88","5.76","5.58","9.9","JAMNAAUTO","520051","INE039C01032"
